cut1,cut2,acc_final,acc_cost,comm_total,comm_cost,comp_total,comp_cost,comp_client_total,comp_cost_client,comp_server_total,comp_cost_server,privacy_score_global,privacy_score_label,privacy_score_sample,privacy_cost,J
0,0,0.91725,0.08274999999999999,0.0,0.0,455.65594102256,1.0,455.65594102256,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27068749999999997
0,1,0.92125,0.07874999999999999,151052.94400000066,1.0,337.6681914073415,0.6847038080491344,329.12220992613584,0.667374766662941,8.545981481205672,0.01732904138619343,0.25721008221424835,0.4068,0.10762016442849666,0.25721008221424835,0.5051659725658457
0,2,0.9245,0.07550000000000001,113304.20800000055,0.750095992832818,254.79291467927396,0.46323794193634016,236.54272929299623,0.4300573555415503,18.250185386277735,0.03318058639478985,0.3810274677495204,0.5737,0.18835493549904078,0.3810274677495204,0.41746535062966966
0,3,0.9165,0.08350000000000002,94429.83999999998,0.6251439892492235,169.19406949542463,0.23449394088643588,142.46651092544198,0.19745097266633674,26.727558569982648,0.037042968220099164,0.563308424647336,0.9767,0.14991684929467192,0.563308424647336,0.37661158869574884
0,4,0.922,0.07799999999999996,84992.6560000001,0.5626679874574291,85.86518538137898,0.011815909257254429,50.20941535476595,0.006909318288391773,35.65577002661303,0.004906590968862656,0.5808729191318546,1.0,0.1617458382637091,0.5808729191318546,0.3083392039616345
0,5,0.92275,0.07725000000000004,76145.29599999975,0.5040967357776186,81.44352543586865,0.0,44.972827727906406,0.0,36.470697707962245,0.0,0.6162252108727575,1.0,0.2324504217455149,0.6162252108727575,0.29939298666259406
1,1,0.91825,0.08174999999999999,0.0,0.0,432.19899939838797,0.9373165062217507,432.19899939838797,0.9373165062217507,0.0,0.0,0.0,0.0,0.0,0.0,0.2547666265554377
1,2,0.9235,0.07650000000000001,113304.20800000055,0.750095992832818,324.877118407283,0.6505224915901264,315.433217366226,0.63161235699623,9.44390104105696,0.018910134593896476,0.3651925541308155,0.58,0.15038510826163112,0.3651925541308155,0.46057775963843994
1,3,0.91625,0.08374999999999999,94429.83999999998,0.6251439892492235,241.05154330050573,0.4265171630246504,222.53897200804204,0.3937609761948911,18.51257129246369,0.03275618682975938,0.5490495549832567,1.0,0.09809910996651332,0.5490495549832567,0.4211151768142827
1,4,0.9265,0.07350000000000001,84992.6560000001,0.5626679874574291,159.70291466871276,0.20913092664268984,132.3890544194728,0.17336343350731534,27.31386024923995,0.035767493135374494,0.5630065665362287,1.0,0.12601313307245737,0.5630065665362287,0.3520763701590869
1,5,0.91825,0.08174999999999999,76145.29599999975,0.5040967357776186,153.9493229072541,0.19375572389203238,126.20506275445223,0.15883768003032925,27.74426015280187,0.03491804386170312,0.5850700566783972,1.0,0.17014011335679435,0.5850700566783972,0.341168129087012
2,2,0.91775,0.08225000000000005,0.0,0.0,418.2837763056159,0.9001311470161889,418.2837763056159,0.9001311470161889,0.0,0.0,0.0,0.0,0.0,0.0,0.24559528675404724
2,3,0.92075,0.07925000000000004,56681.10400000004,0.3752399820820427,326.9541380656883,0.6560728677184785,317.7524956082925,0.6376086635629377,9.201642457395792,0.018464204155540866,0.5747924308009331,0.9999,0.14968486160186614,0.5747924308009331,0.4213388201503636
2,4,0.91475,0.08525000000000005,47243.91999999984,0.312763980290246,242.73007082613185,0.43100265697330664,224.8106168443337,0.39918405183971306,17.919453981798142,0.03181860513359361,0.5466364951764845,1.0,0.09327299035296889,0.5466364951764845,0.3439132831100093
2,5,0.9165,0.08350000000000002,38396.560000000056,0.25419272861043934,202.91057526087388,0.324593853024809,187.6992830634117,0.30026051338732324,15.211292197462171,0.024333339637485758,0.5857538092007415,1.0,0.17150761840148301,0.5857538092007415,0.31201009770899746
3,3,0.92275,0.07725000000000004,0.0,0.0,323.07990695815533,0.6457198410786249,323.07990695815533,0.6457198410786249,0.0,0.0,0.0,0.0,0.0,0.0,0.18074246026965624
3,4,0.91725,0.08274999999999999,28369.552000000072,0.1878119767066569,258.827395665925,0.4740192009716016,251.71237410511822,0.46098867602862953,7.115021560806781,0.013030524942972114,0.5648124118609932,1.0,0.12962482372198628,0.5648124118609932,0.3273483973848129
3,5,0.919,0.08099999999999996,19522.192000000057,0.1292407250268487,247.3128524105996,0.44324912821152795,239.81489797588438,0.42981083847380125,7.497954434715211,0.013438289737726697,0.5785995513806672,1.0,0.1571991027613345,0.5785995513806672,0.30802235115476095
4,4,0.91775,0.08225000000000005,0.0,0.0,318.2055710675195,0.632694255374864,318.2055710675195,0.632694255374864,0.0,0.0,0.0,0.0,0.0,0.0,0.17873606384371601
4,5,0.92275,0.07725000000000004,10085.008000000013,0.06676472323505306,312.9297828809358,0.6185958771093747,312.4427494313568,0.6176331151723348,0.4870334495790303,0.0009627619370399625,0.5600539445924533,1.0,0.12010788918490665,0.5600539445924533,0.33066613623422025
5,5,0.917,0.08299999999999996,0.0,0.0,412.90670096874237,0.8857621012205187,412.90670096874237,0.8857621012205187,0.0,0.0,0.0,0.0,0.0,0.0,0.24219052530512966
