exp_name,timestamp,client_idx,global_round,epoch,batch_idx,acc,loss,comm_time,comp_time,comp_time_client,comp_time_server,cut1,cut2,t_front,t_middle,t_back,smashed1_numel,smashed2_numel
neu_mbv2_pattern_mining,2026-02-08T11:56:02,0,1,1,0,0.375,1.7120147943496704,11.249424,0.19731768991914578,0.15825376991415396,0.039063920004991814,0,3,0.005580789991654456,0.039063920004991814,0.01024458699976094,12845056.0,1204224.0
neu_mbv2_pattern_mining,2026-02-08T11:56:02,0,2,1,1,0.84375,0.6780534386634827,11.249424,0.03646712584304623,0.030923319864086807,0.005543805978959426,0,3,0.00071308299084194,0.005543805978959426,0.0023792489955667406,12845056.0,1204224.0
neu_mbv2_pattern_mining,2026-02-08T11:56:02,0,3,1,2,0.921875,0.24216127395629883,11.249424,0.03297245406429283,0.02762910007731989,0.005343353986972943,0,3,0.0006205200043041259,0.005343353986972943,0.002142390003427863,12845056.0,1204224.0
neu_mbv2_pattern_mining,2026-02-08T11:56:02,0,4,1,3,0.8125,0.40014174580574036,11.249424,0.03270267174229957,0.02737805974902585,0.00532461199327372,0,3,0.0006052249809727073,0.00532461199327372,0.002132580993929878,12845056.0,1204224.0
neu_mbv2_pattern_mining,2026-02-08T11:56:02,0,5,1,4,0.75,0.6586767435073853,0.712464,0.04747647576732561,0.04188106977380812,0.005595405993517488,0,3,0.0007343659817706794,0.005595405993517488,0.003453740995610133,802816.0,75264.0
neu_mbv2_pattern_mining,2026-02-08T11:56:03,1,1,1,0,0.25,1.6902276277542114,11.249424,0.1810151439276524,0.14694893994601443,0.034066203981637955,0,3,0.005322985001839697,0.034066203981637955,0.009371908992761746,12845056.0,1204224.0
neu_mbv2_pattern_mining,2026-02-08T11:56:03,1,2,1,1,0.84375,0.6926624774932861,11.249424,0.03345543285831809,0.028057959862053394,0.005397472996264696,0,3,0.0006226199911907315,0.005397472996264696,0.002183175995014608,12845056.0,1204224.0
neu_mbv2_pattern_mining,2026-02-08T11:56:03,1,3,1,2,0.921875,0.2622784972190857,11.249424,0.03285684424918145,0.027496350230649114,0.005360494018532336,0,3,0.000602483021793887,0.005360494018532336,0.0021471520012710243,12845056.0,1204224.0
neu_mbv2_pattern_mining,2026-02-08T11:56:03,1,4,1,3,0.953125,0.2626812160015106,11.249424,0.03434021008433774,0.028654260095208883,0.005685949989128858,0,3,0.000704598001902923,0.005685949989128858,0.0021608280076179653,12845056.0,1204224.0
neu_mbv2_pattern_mining,2026-02-08T11:56:03,1,5,1,4,0.3333333333333333,2.1471049785614014,0.536848,0.04512083617737517,0.03791287017520517,0.0072079660021699965,0,3,0.0006363200081977993,0.0072079660021699965,0.003154967009322718,602112.0,56448.0
